image_id,platform,content_type,visual_style,color_tone,mood,subject,background,text_overlay,cta_type,audience,campaign_goal,engagement_label,caption_suggestion,hashtag_suggestion
IMG001,Instagram,Single Photo,Lifestyle,Warm,Happy,Person holding product outdoors,Nature/Park,Yes - product name,Shop Now,Gen Z,Brand Awareness,high,Found my new favourite thing this summer ☀️,#SummerVibes #OOTD #NewDrop
IMG002,Instagram,Carousel,Flat Lay,Bright,Energetic,Product lineup on white surface,White Studio,Yes - price tag,Swipe to See,Millennials,Product Launch,high,Everything you need in one collection 🛍️,#NewCollection #FlatLay #ProductPhotography
IMG003,Instagram,Reel Thumbnail,Aesthetic,Pastel,Calm,Coffee and notebook on desk,Cozy Indoor,No,Follow for More,Gen Z,Engagement,medium,Morning routine that changed my life ☕,#MorningRoutine #AestheticLife #SlowMorning
IMG004,Instagram,Story,Bold,Neon,Exciting,Text-based announcement graphic,Dark Background,Yes - sale percentage,Tap to Shop,Millennials,Drive Sales,high,SALE IS LIVE 🔥 Don't miss out,#SaleAlert #LimitedTime #FlashSale
IMG005,Instagram,Single Photo,Professional,Neutral,Confident,Team photo in office setting,Modern Office,Yes - company name,Learn More,Professionals,Brand Awareness,medium,Meet the team behind the mission 💼,#TeamWork #CompanyCulture #BehindTheScenes
IMG006,Instagram,Carousel,Educational,Clean,Informative,Infographic slides with icons,White Background,Yes - statistics,Save This,Entrepreneurs,Lead Generation,high,5 strategies that grew our revenue 📊,#BusinessTips #Entrepreneur #GrowthHack
IMG007,Instagram,Reel Thumbnail,Cinematic,Dark,Dramatic,Before and after transformation,Split Screen,Yes - transformation label,Watch Now,Gen Z,Engagement,high,The glow up is real 😍,#GlowUp #Transformation #BeforeAndAfter
IMG008,Instagram,Single Photo,Minimalist,Monochrome,Sophisticated,Single product on clean surface,Grey Background,No,Shop the Look,Professionals,Product Launch,medium,Less is more. Always.,#Minimalist #CleanAesthetic #ProductDesign
IMG009,Instagram,Story,Fun,Vibrant,Playful,Poll or quiz graphic,Colourful Background,Yes - question text,Vote Now,Gen Z,Engagement,high,This or that? You decide 👇,#ThisOrThat #Poll #EngagementPost
IMG010,Instagram,Carousel,Tutorial,Soft,Helpful,Step by step how-to images,Light Background,Yes - step numbers,Follow for Tips,Students,Education,high,How I studied smarter not harder 📚,#StudyTips #StudentLife #HowTo
IMG011,Twitter,Banner Image,Professional,Blue,Trustworthy,Speaker at conference podium,Conference Hall,Yes - event name,Register Now,Professionals,Event Promotion,medium,Big news coming this Thursday 🎙️,#Conference #Speaker #EventAlert
IMG012,Twitter,Single Photo,Candid,Natural,Authentic,Behind the scenes team working,Office/Remote Setup,No,Retweet,Millennials,Brand Awareness,high,This is what building something looks like 💻,#BehindTheScenes #StartupLife #Authentic
IMG013,Twitter,Infographic,Bold,High Contrast,Informative,Data chart with key stats,Dark Background,Yes - key numbers,Share This,Entrepreneurs,Thought Leadership,high,The numbers don't lie 📈,#DataDriven #Stats #MarketingTips
IMG014,Twitter,Meme Format,Humorous,Colourful,Funny,Two-panel reaction format,White Background,Yes - humorous text,Retweet if True,Gen Z,Engagement,high,When the deadline is tomorrow 💀,#Relatable #MemeMarketing #WorkLife
IMG015,Twitter,Product Screenshot,Clean,White,Clear,App or product UI screenshot,Device Mockup,Yes - feature callout,Try it Free,Professionals,Product Demo,medium,One click. That's all it takes.,#ProductDemo #AppScreenshot #TechProduct
IMG016,LinkedIn,Professional Headshot,Corporate,Neutral,Confident,Individual professional portrait,Blurred Office,No,Connect With Me,Professionals,Personal Branding,high,Excited to share my next chapter 🚀,#OpenToWork #CareerGrowth #NewOpportunity
IMG017,LinkedIn,Document/Carousel,Clean,Blue-White,Educational,Slide-style post with bullet points,White Background,Yes - key takeaways,Save Post,Entrepreneurs,Thought Leadership,high,Everything I learned in 5 years of building 📋,#BusinessLessons #Entrepreneur #Leadership
IMG018,LinkedIn,Team Photo,Warm,Natural,Collaborative,Group team photo at event or office,Office/Event Space,Yes - company name,Follow Our Page,Professionals,Employer Branding,medium,Proud of this incredible team 🙌,#TeamCulture #ProudLeader #CompanyLife
IMG019,LinkedIn,Milestone Graphic,Celebratory,Gold-White,Proud,Number/achievement highlight graphic,Clean Background,Yes - milestone number,Share Your Story,Entrepreneurs,Brand Awareness,high,1000 customers and counting 🎉,#Milestone #Grateful #StartupWin
IMG020,LinkedIn,Infographic,Professional,Navy Blue,Authoritative,Industry trend data visualization,Dark Background,Yes - data points,Download Report,Professionals,Lead Generation,medium,The future of AI in marketing 🤖,#AIMarketing #IndustryTrends #FutureOfWork
IMG021,Facebook,Event Cover Photo,Vibrant,Multi-colour,Exciting,Event poster with date and location,Branded Background,Yes - event details,RSVP Now,Millennials,Event Promotion,high,Join us this Saturday — it's going to be epic! 🎊,#EventAlert #JoinUs #LocalEvent
IMG022,Facebook,Product Photo,Warm,Earth Tones,Inviting,Food or lifestyle product in use,Home Kitchen Setting,No,Order Now,Parents,Drive Sales,high,Made with love for your family 🍽️,#HomeCooking #FamilyMeals #FoodPhotography
IMG023,Facebook,Testimonial Graphic,Trust,Light Blue,Reassuring,Customer quote on branded card,Soft Background,Yes - customer name and quote,Shop Now,Parents,Social Proof,medium,Real results from real customers ⭐,#CustomerReview #Testimonial #TrustUs
IMG024,Facebook,Meme,Humorous,Bright,Funny,Relatable parenting scenario image,Everyday Home Setting,Yes - funny caption,Tag a Friend,Parents,Engagement,high,Nobody warned me about this part of parenting 😂,#ParentingMemes #MomLife #DadLife
IMG025,Facebook,Video Thumbnail,Dynamic,Bold,Action-oriented,Person demonstrating product use,Outdoor Setting,Yes - video title,Watch Video,Millennials,Product Demo,high,Watch how this changes everything 🎥,#ProductVideo #HowItWorks #WatchNow
IMG026,TikTok,Video Cover,Trendy,Bright Neon,Energetic,Person mid-action or dancing,Street or Studio,Yes - hook text,Follow,Gen Z,Engagement,high,Wait for it… 👀,#FYP #TikTokViral #WaitForIt
IMG027,TikTok,Video Cover,Tutorial Style,Clean Pastel,Helpful,Hands demonstrating a hack or skill,Kitchen or Desk,Yes - tutorial title,Try This,Millennials,Education,high,This changed my morning forever ✨,#LifeHack #TikTokTips #Tutorial
IMG028,TikTok,Video Cover,Aesthetic,Soft Pink,Dreamy,Flat lay of beauty or lifestyle items,White Marble Surface,No,Shop Link in Bio,Gen Z,Product Promotion,high,Everything in my current rotation 🌸,#Aesthetic #TikTokMadeMeBuyIt #Haul
IMG029,TikTok,Video Cover,Dramatic,Dark Moody,Intense,Face close-up with strong expression,Dark Background,Yes - dramatic hook,Watch to End,Millennials,Storytelling,high,I never thought this would happen to me,#StoryTime #Emotional #MustWatch
IMG030,TikTok,Video Cover,Educational,Bright Yellow,Informative,Text on screen with presenter,Simple Background,Yes - key fact,Save This,Students,Education,high,Did you know this about your brain? 🧠,#LearnOnTikTok #StudyTok #MindBlown
IMG031,Instagram,Single Photo,Festive,Red-Gold,Celebratory,Product styled with festive props,Festive Decorated Set,Yes - offer text,Shop the Fest,Parents,Seasonal Campaign,high,Celebrate the season with something special 🎉,#FestiveSeason #GiftIdeas #HolidayShopping
IMG032,Instagram,Reel Thumbnail,Sporty,Electric Blue,Motivated,Athlete in action mid-workout,Gym or Outdoors,Yes - motivational quote,Join the Challenge,Gen Z,Community Building,high,No excuses. Just results 💪,#FitnessMotivation #GymLife #WorkoutTok
IMG033,LinkedIn,Thought Leadership Graphic,Minimalist,Black-White,Intellectual,Quote on clean branded background,White or Black Background,Yes - quote text,Follow for More,Professionals,Personal Branding,high,The best leaders I know ask more than they answer,#Leadership #ThoughtLeadership #CareerAdvice
IMG034,Facebook,Infographic,Educational,Teal-White,Helpful,Step-by-step visual guide,Clean White Background,Yes - numbered steps,Share With Friends,Parents,Education,medium,5 easy tips every parent should know 📋,#ParentingTips #UsefulInfo #ShareThis
IMG035,Twitter,Quote Card,Inspirational,Gradient Purple,Uplifting,Bold text on gradient background,Abstract Gradient,Yes - quote and author,Retweet,Students,Motivation,high,Your potential is limitless. Act like it.,#Motivation #StudentLife #QuoteOfTheDay
IMG036,Instagram,Single Photo,Candid,Golden Hour,Warm,Person laughing outdoors at sunset,Outdoor Golden Light,No,Tag Someone,Millennials,Brand Awareness,medium,This is what joy looks like ☀️,#GoldenHour #JoyfulLife #PositiveVibes
IMG037,TikTok,Video Cover,Comedy,Bright,Hilarious,Exaggerated facial expression,Everyday Setting,Yes - funny hook,Watch and Laugh,Gen Z,Engagement,high,Nobody prepared me for this 😭,#Funny #Comedy #TikTokHumour
IMG038,LinkedIn,Case Study Graphic,Corporate,Deep Blue,Authoritative,Results dashboard or chart screenshot,Clean Background,Yes - key results,Read Case Study,Entrepreneurs,Lead Generation,high,How we 10x'd our client's ROI in 90 days 📊,#CaseStudy #ResultsDriven #MarketingROI
IMG039,Facebook,Community Post Photo,Warm,Natural,Inclusive,Diverse group of community members,Community Space,No,Join Our Group,Parents,Community Building,medium,Our community grows stronger every day 💛,#Community #TogetherWeGrow #Support
IMG040,Instagram,Carousel,Fashion,Pastel,Stylish,Model wearing outfit in multiple poses,Studio White Background,Yes - price tag,Shop the Look,Gen Z,Drive Sales,high,This fit goes hard and you know it 🔥,#FashionStyle #OOTD #StyleInspo
IMG041,TikTok,Video Cover,Transformation,Split Tone,Inspiring,Before and after split screen,Neutral Background,Yes - before/after label,Watch My Journey,Students,Storytelling,high,6 months ago vs today 📚,#StudyTransformation #GlowUp #StudentJourney
IMG042,Twitter,Product Announcement,Bold,Brand Colours,Exciting,New product hero shot,Clean Brand Background,Yes - product name and date,Pre-Order Now,Millennials,Product Launch,high,Something big is coming 👀,#ComingSoon #ProductLaunch #NewRelease
IMG043,LinkedIn,Employee Spotlight,Warm,Natural,Human,Candid employee at work photo,Office Environment,Yes - employee name and role,Join Our Team,Professionals,Employer Branding,medium,The people who make it all possible 🙌,#EmployeeSpotlight #TeamCulture #Hiring
IMG044,Facebook,Sale Banner,Urgent,Red-White,Action-Oriented,Bold sale graphic with countdown,High Contrast Background,Yes - discount and deadline,Shop Now,Millennials,Drive Sales,high,48 HOURS ONLY — Up to 60% off everything 🔥,#Sale #LimitedOffer #ShopNow
IMG045,Instagram,Single Photo,Food Photography,Warm Natural,Appetising,Close-up of food dish styled beautifully,Rustic Wooden Surface,No,Order Now,Parents,Drive Sales,high,Made fresh every single day 🍽️,#FoodPhotography #FreshFood #Foodie
IMG046,TikTok,Video Cover,Finance Tips,Clean Blue,Trustworthy,Person pointing to text on screen,Home Office Background,Yes - money tip text,Save This,Students,Education,high,The money habit nobody teaches you in school 💰,#FinanceTok #MoneyTips #StudentFinance
IMG047,LinkedIn,Webinar Promo,Professional,Purple-White,Inviting,Speaker headshot with event details,Branded Event Template,Yes - date time and topic,Register Free,Professionals,Event Promotion,medium,Join our free live webinar this Thursday 🎙️,#Webinar #FreeEvent #ProfessionalDevelopment
IMG048,Instagram,Aesthetic Grid Post,Minimal,Beige-Brown,Serene,Overhead shot of journal and tea,Linen Textured Surface,No,Follow for Daily Inspo,Millennials,Brand Awareness,medium,Slow down. Breathe. You're doing great 🌿,#SlowLiving #MindfulLife #AestheticFeed
IMG049,Facebook,Throwback Photo,Nostalgic,Faded Warm,Sentimental,Old vs new brand comparison,Collage Format,Yes - year labels,Share Your Story,Millennials,Brand Storytelling,medium,Look how far we've come 🙏,#Throwback #BrandJourney #FromTheBeginning
IMG050,TikTok,Video Cover,Challenge,Bright Energetic,Fun,Person doing a trending challenge,Open Space,Yes - challenge name,Join the Trend,Gen Z,Community Building,high,Can you beat my score? 👀 Try the challenge!,#TikTokChallenge #Viral #JoinIn
